Genero,Edad, H_Clases virtuales , Ex_ClasesVirtuales, H_EStudioAutonomo,TiempoEstudio,Promedio_Cv,H_Dormir,N_Estes_CV,Realiza_Deportes
Masculino,22,4,3,3,3,7,7,4,No
Femenino,18,7,2,2,2,9.5,5,4,No
Femenino,19,6,3,4,4,9.8,4,4,No
Masculino,20,7,3,3,4,9.93,8,3,No
Femenino,20,5,3,1,3,9,5,3,No
Femenino,18,4,3,2,2,9.5,4,4,No
Femenino,18,8,1,0,1,9,10,1,SI
Masculino,18,4,4,1,3,9.25,5,5,No
Femenino,20,6,3,2,1,9,5,4,SI
Masculino,17,6,3,1,4,9.6,7,1,SI
Femenino,19,3,3,3,4,9.33,7,4,SI
Femenino,18,7,3,6,5,9.7,6,5,No
Femenino,18,4,2,2,3,8,5,4,SI
Masculino,18,6,3,3,5,9.96,8,5,SI
Femenino,18,6,2,0,1,8.8,6,5,No
Femenino,54,4,3,2,3,8,4,3,SI
Masculino,20,2,1,0,1,7,5,5,SI
Masculino,21,4,2,3,2,7.5,6,4,SI
Masculino,19,4,2,2,1,8.5,8,1,No
Masculino,20,6,2,3,3,7.6,7,3,No
Masculino,20,3,4,3,3,10,6,3,No
Masculino,20,6,1,7,5,5,10,5,No
Masculino,21,6,3,4,3,7.6,6,5,SI
Masculino,19,7,4,6,4,7.77,7,5,No
Masculino,20,5,3,3,4,8.5,6,4,SI
Masculino,21,8,4,4,5,7.84,7,2,No
Femenino,20,7,3,8,2,8.4,4,5,No
Femenino,49,4,5,3,4,8,6,2,SI
Masculino,20,4,3,2,2,9,6,4,No
Masculino,27,4,3,6,3,7,5,4,No
Masculino,20,6,3,3,3,9.5,6,4,SI
Masculino,19,5,4,6,4,8,7,3,No
Masculino,20,6,2,10,3,8.4,4,5,No
Masculino,20,6,3,4,5,8.8,7,4,SI
Femenino,20,8,2,4,4,8.2,4,5,No
Masculino,20,6,1,3,4,9.1,6,4,No
Femenino,21,12,3,3,3,9,6,4,SI
Masculino,18,7,2,3,3,8.89,6,4,SI
Femenino,20,10,5,6,4,8,4,5,SI
Femenino,22,4,3,5,2,7,6,5,No
Femenino,20,6,2,4,3,7.8,5,4,SI
Masculino,20,5,4,5,3,7.05,7,4,No
Femenino,18,6,1,2,2,7,8,5,No
Femenino,24,4,4,4,3,8.4,6,1,SI
Masculino,21,6,5,3,5,9.5,8,5,SI
Femenino,18,5,1,1,1,7,4,5,No
Femenino,32,3,5,3,5,8,8,5,SI
Femenino,32,2,5,1,5,8.5,7,5,SI
Femenino,20,5,3,1,1,8.5,6,2,No
Femenino,20,5,4,2,4,9.15,5,5,No
Masculino,20,6,5,7,3,7.89,5,1,No
Masculino,21,5,2,1,2,6.5,6,5,No
Femenino,20,6,5,6,3,8,7,3,No
Masculino,19,5,4,4,4,7.65,7,4,SI
Masculino,24,5,3,5,3,8.5,6,3,SI
Masculino,20,5,3,4,4,7.8,7,3,No
Femenino,23,6,3,4,3,8.2,5,5,No
Masculino,21,6,2,5,3,7,6,4,SI
Masculino,19,7,4,4,4,7.4,7,4,No
Masculino,20,4,4,3,2,7.5,4,3,SI
Masculino,24,6,4,5,4,8.2,7,3,No
Femenino,18,5,3,1,4,10,8,4,No
Masculino,20,6,2,2,1,8.4,6,3,SI
Femenino,20,6,3,5,4,7.8,6,4,SI
Femenino,19,4,3,5,3,7,5,4,SI
Femenino,19,0,3,5,4,9,8,3,SI
Femenino,20,8,3,5,3,8.5,6,5,No
Masculino,21,2,3,2,3,8.33,5,3,SI
Femenino,18,4,4,3,3,9,8.5,1,SI
Femenino,23,6,4,2,5,9.8,8,4,SI
Masculino,23,6,3,2,3,8,7,2,SI
Femenino,29,5,3,2,3,8.8,6,4,No
Masculino,20,7,3,3,3,7.1,6,3,SI
Femenino,23,1,1,6,5,6,8,1,SI
Femenino,20,8,3,2,4,9,8,3,SI
Masculino,20,4,4,4,3,8.2,5,5,No
Femenino,20,6,2,3,4,9.8,6,5,No
Masculino,19,2,1,0,1,9.5,10,1,No
Femenino,24,1,1,0,1,7,12,1,No
Masculino,18,5,4,6,5,6,5,3,SI
Masculino,19,7,4,0,3,9.8,3,2,No
Femenino,22,2,2,1,1,8.9,4,3,SI
Masculino,18,5,4,1,3,9.5,9,3,No
Masculino,21,4,4,2,2,8.5,5,2,SI
Masculino,26,3,1,2,3,7,6,5,No
Femenino,21,6,3,2,5,9.5,6,3,SI
Masculino,21,4,2,1,2,8.1,7,1,SI
Masculino,23,1,1,6,5,6,8,1,SI
Masculino,18,4,4,4,5,9,8,4,SI
Masculino,21,5,3,5,3,7.56,5,3,No
Femenino,20,6,3,3,3,7.7,8,5,SI
Masculino,27,5,2,3,3,6,8,4,No
Femenino,21,4,4,5,4,8.5,6,3,SI
Femenino,20,7,3,2,3,9,7,5,No
Femenino,21,6,3,3,4,7.2,6,5,SI
Masculino,23,5,3,3,4,7,5,4,SI
Masculino,22,5,4,2,3,8,6,3,No
Masculino,20,4,4,4,4,7.5,8,3,SI
Masculino,22,4,5,3,3,8.3,5,3,SI
Masculino,21,6,3,4,4,7,6,3,SI
Masculino,25,4,3,4,4,8.9,6,5,SI
Femenino,47,4,5,4,5,10,7,5,No
